nid,url,titre,id-camera,id-arrondissement,arrondissement,description,latitude,longitude,axe-routier-nord-sud,axe-routier-est-ouest,url-image-en-direct,url-video-en-direct,url-image-direction-nord,url-image-direction-est,url-image-direction-sud,url-image-direction-ouest
"262","http://ville.montreal.qc.ca/circulation/map/1/262","Boulevard Crémazie et boulevard Saint-Laurent inter. Nord-Est","36","1","Ahuntsic-Cartierville","","45.542487059828","-73.641351970411","Boulevard Saint-Laurent","Boulevard Crémazie","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN36.jpeg","http://ville.montreal.qc.ca/circulation/GEN36.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_ouest.png",
"263","http://ville.montreal.qc.ca/circulation/map/1/263","Boulevard de l'Acadie et boulevard Henri-Bourassa","37","1","Ahuntsic-Cartierville","","45.534293128547","-73.680889107864","Boulevard de l'Acadie","Boulevard Henri-Bourassa","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN37.jpeg","http://ville.montreal.qc.ca/circulation/GEN37.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_ouest.png",
"264","http://ville.montreal.qc.ca/circulation/map/1/264","Boulevard de l'Acadie et rue Sauvé","38","1","Ahuntsic-Cartierville","","45.535648891384","-73.665602435395","Boulevard de l'Acadie","Rue Sauvé","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN38.jpeg","http://ville.montreal.qc.ca/circulation/GEN38.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_ouest.png",
"265","http://ville.montreal.qc.ca/circulation/map/19/265","Boulevard Crémazie et boulevard Saint-Michel inter. Nord-Ouest","39","19","Villeray–Saint-Michel–Parc-Extension","","45.562423855806","-73.607428096710","Boulevard Saint-Michel","Boulevard Crémazie","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN39.jpeg","http://ville.montreal.qc.ca/circulation/GEN39.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_ouest.png",
"266","http://ville.montreal.qc.ca/circulation/map/10/266","Boulevard Pie-IX et rue Prieur","41","10","Montréal-Nord","","45.588263812424","-73.634559306595","Boulevard Pie-IX","Rue Prieur","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN41.jpeg","http://ville.montreal.qc.ca/circulation/GEN41.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_ouest.png",
"267","http://ville.montreal.qc.ca/circulation/map/1/267","Boulevard Crémazie et avenue Papineau inter. Nord-Ouest","42","1","Ahuntsic-Cartierville","","45.554755251759","-73.622821852279","Avenue Papineau","Boulevard Crémazie","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN42.jpeg","http://ville.montreal.qc.ca/circulation/GEN42.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_ouest.png",
"268","http://ville.montreal.qc.ca/circulation/map/1/268","Boulevard Crémazie et rue Saint-Denis inter. Nord","43","1","Ahuntsic-Cartierville","","45.545382787991","-73.639108929506","Rue Saint-Denis","Boulevard Crémazie","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN43.jpeg","http://ville.montreal.qc.ca/circulation/GEN43.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_ouest.png",
"269","http://ville.montreal.qc.ca/circulation/map/19/269","Rue Hutchison et rue Jean-Talon","44","19","Villeray–Saint-Michel–Parc-Extension","","45.529664082423","-73.622680633906","Rue Hutchison","Rue Jean-Talon","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN44.jpeg","http://ville.montreal.qc.ca/circulation/GEN44.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_ouest.png",
"270","http://ville.montreal.qc.ca/circulation/map/18/270","Chemin de la Côte-des-Neiges et rue Guy / rue Sherbrooke","45","18","Ville-Marie","","45.496563817667","-73.581729242118","Chemin de la Côte-des-Neiges","Rue Guy / rue Sherbrooke","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN45.jpeg","http://ville.montreal.qc.ca/circulation/GEN45.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_ouest.png",
"271","http://ville.montreal.qc.ca/circulation/map/18/271","Rue Berri et boulevard De Maisonneuve","46","18","Ville-Marie","","45.515316260200","-73.561100034201","Rue Berri","Boulevard De Maisonneuve","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN46.jpeg","http://ville.montreal.qc.ca/circulation/GEN46.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_ouest.png",
