ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice PCI,Etat PCI,Indice IRI,Etat IRI
1614883,Alexis-Nihon boulevard,chemin de la Côte-de-Liesse ,rue Ward ,164,Saint-Laurent,2015-09-01,60,Mauvais,3.19,Moyen
1614884,Alexis-Nihon boulevard,chemin de la Côte-de-Liesse ,rue Ward ,140,Saint-Laurent,2015-09-01,58,Mauvais,3.52,Moyen
1614886,Sainte-Colette boulevard,rue des Roses ,avenue Jean-Paul-Cardinal ,68,Montréal-Nord,2015-07-08,33,Mauvais,6.95,Mauvais
1614887,des Roses rue,boulevard Sainte-Colette ,avenue du Père-de-Foucauld ,74,Montréal-Nord,2015-06-30,41,Moyen,5.42,Moyen
1614890,de l'Acadie boulevard,rue Chabanel Ouest ,rue Mazurette ,150,Ahuntsic-Cartierville,2015-07-24,31,Mauvais,5.97,Mauvais
1614896,de l'Hôtel-de-Ville avenue,rue d'Amos ,boulevard Henri-Bourassa Est ,248,Montréal-Nord,2015-07-07,46,Moyen,7.21,Mauvais
1614897,Jean-Talon Est rue,rue de Côme ,rue de la Villanelle ,72,Saint-Léonard,2015-06-29,59,Moyen,4.74,Moyen
1614900,Limoges rue,rue Robitaille ,rue Robitaille ,76,Saint-Laurent,2015-09-02,86,Excellent,3.25,Bon
1614902,Lévis-Sauvé rue,rue Albert-Couture ,rue Raymond ,72,LaSalle,2015-08-21,100,Excellent,4.35,Moyen
1614903,Éric avenue,avenue Des Ormeaux ,boulevard Pierre-Bernard ,71,Mercier–Hochelaga–Maisonneuve,2015-07-09,59,Moyen,3.67,Bon
1614904,Gariépy avenue,rue de Charleroi ,rue Arthur-Champoux ,32,Montréal-Nord,2015-07-06,30,Mauvais,9.67,Très mauvais
1614905,Ernest-Ouimet rue,avenue Daniel-Dony ,rue Ludger-Gravel ,334,Rivière-des-Prairies–Pointe-aux-Trembles,2015-06-22,72,Bon,4.2,Moyen
1614907,Ludger-Gravel rue,rue Ernest-Ouimet ,avenue Daniel-Dony ,78,Rivière-des-Prairies–Pointe-aux-Trembles,2015-06-19,60,Moyen,5.61,Moyen
1614908,Alexis-Carrel avenue,rue Ernest-Ouimet ,avenue Daniel-Dony ,69,Rivière-des-Prairies–Pointe-aux-Trembles,2015-06-22,44,Mauvais,4.94,Moyen
1614910,De Courcelle rue,rue du Square-Sainte-Élisabeth ,rue Saint-Jacques ,32,Le Sud-Ouest,2015-08-27,53,Moyen,9.35,Très mauvais
1614915,de la Côte-de-Liesse chemin,avenue Renaud ,chemin de la Côte-de-Liesse ,433,Lachine,2015-08-19,65,Moyen,2.41,Bon
1614923,de la Côte-de-Liesse chemin,avenue Riddle ,55e avenue ,387,Lachine,2015-08-19,45,Mauvais,4.5,Moyen
1614924,de la Côte-de-Liesse chemin,avenue Riddle ,55e avenue ,352,Lachine,2015-08-19,50,Mauvais,5.32,Mauvais
1615191,Félix-Leclerc avenue,chemin du Bois-Franc ,place Jean-Grimaldi ,55,Saint-Laurent,2015-09-01,92,Excellent,4.4,Moyen
1617607,Antoine-Faucon rue,boulevard Saint-Charles ,rue Biroleau ,66,Pierrefonds–Roxboro,2015-10-08,24,Très mauvais,5.25,Mauvais
1617612,Oakwood rue,rue Atlas ,boulevard Saint-Charles ,160,Pierrefonds–Roxboro,2015-10-07,39,Mauvais,4.05,Moyen
1617613,Pierre-Legault rue,rue Oakwood ,rue Gaucher ,400,Pierrefonds–Roxboro,2015-10-06,59,Moyen,4.04,Moyen
1617614,Oakwood rue,rue Paul-Brazeau ,rue Atlas ,110,Pierrefonds–Roxboro,2015-10-07,61,Moyen,4.25,Moyen
1617615,Oakwood rue,rue Miquet ,rue Paul-Brazeau ,74,Pierrefonds–Roxboro,2015-10-07,36,Mauvais,2.58,Bon
1617616,Oakwood rue,rue Pierre-Legault ,rue Miquet ,68,Pierrefonds–Roxboro,2015-10-07,31,Mauvais,3.53,Moyen
1617617,Miquet rue,rue Gaucher ,rue Oakwood ,129,Pierrefonds–Roxboro,2015-10-06,65,Bon,4.19,Moyen
1617618,Paul-Brazeau rue,rue Gaucher ,rue Oakwood ,129,Pierrefonds–Roxboro,2015-10-06,70,Bon,4.46,Moyen
1617619,Gaucher rue,rue Pierre-Legault ,rue Fiddler's Green ,203,Pierrefonds–Roxboro,2015-10-07,75,Bon,4.49,Moyen
1617621,Gaucher rue,rue Fiddler's Green ,rue Miquet ,111,Pierrefonds–Roxboro,2015-10-07,62,Bon,5.53,Moyen
1617622,Fiddler's Green rue,rue Fiddler's Green ,rue Gaucher ,42,Pierrefonds–Roxboro,2015-10-08,52,Moyen,6.84,Mauvais
1617623,Gaucher rue,rue Miquet ,rue Paul-Brazeau ,74,Pierrefonds–Roxboro,2015-10-07,70,Bon,5.84,Moyen
1617624,Gaucher rue,rue Paul-Brazeau ,rue Gaucher ,38,Pierrefonds–Roxboro,2015-10-07,47,Moyen,6.9,Mauvais
1617625,Atlas rue,rue Oakwood ,rue Anthime ,80,Pierrefonds–Roxboro,2015-10-07,51,Moyen,5.72,Moyen
1617626,Atlas rue,rue Besson ,rue Sugarbush ,71,Pierrefonds–Roxboro,2015-10-07,60,Moyen,4.61,Moyen
1617627,Atlas rue,rue Anthime ,rue Besson ,73,Pierrefonds–Roxboro,2015-10-07,64,Bon,5.28,Moyen
1617638,Gaucher rue,rue Acorn ,rue Gaucher ,110,Pierrefonds–Roxboro,2015-10-07,73,Bon,6.56,Mauvais
1617641,Gaucher rue,rue Acorn ,rue Pierre-Legault ,32,Pierrefonds–Roxboro,2015-10-07,53,Moyen,5.06,Moyen
1617642,Gaucher rue,rue Pierre-Legault ,rue Gaucher ,45,Pierrefonds–Roxboro,2015-10-07,64,Bon,5.8,Moyen
1617643,Gaucher rue,rue Acorn ,rue Pierre-Legault ,29,Pierrefonds–Roxboro,2015-10-07,55,Moyen,7.43,Mauvais
1617644,Acorn rue,rue Gaucher ,rue de Boischatel ,114,Pierrefonds–Roxboro,2015-10-08,48,Moyen,6.2,Mauvais
1617645,Acorn rue,rue de Boischatel ,rue Oakwood ,79,Pierrefonds–Roxboro,2015-10-08,38,Mauvais,7.98,Mauvais
1617646,Kuchiran rue,rue de Boischatel ,rue Oakwood ,78,Pierrefonds–Roxboro,2015-10-07,22,Mauvais,5.88,Moyen
1617647,Gaucher rue,rue Gamelin ,rue Gamelin ,76,Pierrefonds–Roxboro,2015-10-07,51,Moyen,5.1,Moyen
1617648,Oakwood rue,rue Acorn ,rue Pierre-Legault ,299,Pierrefonds–Roxboro,2015-10-07,51,Moyen,4.42,Moyen
1617649,Oakwood rue,rue Kuchiran ,rue Sainte-Anne ,134,Pierrefonds–Roxboro,2015-10-07,73,Bon,3.54,Moyen
1617650,de Boischatel rue,rue Kuchiran ,rue Acorn ,234,Pierrefonds–Roxboro,2015-10-07,48,Moyen,5.86,Moyen
1617651,Gamelin rue,rue Gaucher ,rue Gaucher ,225,Pierrefonds–Roxboro,2015-10-06,55,Moyen,4.5,Moyen
1617654,Gaucher rue,rue Gamelin ,rue Acorn ,83,Pierrefonds–Roxboro,2015-10-07,52,Moyen,5.05,Moyen
1617655,Kuchiran rue,rue Gaucher ,rue de Boischatel ,276,Pierrefonds–Roxboro,2015-10-07,51,Moyen,6.14,Mauvais
1617656,Gaucher rue,rue Kuchiran ,rue Gamelin ,205,Pierrefonds–Roxboro,2015-10-07,49,Moyen,5.44,Moyen
1617657,Kuchiran rue,rue Kuchiran ,rue Gaucher ,38,Pierrefonds–Roxboro,2015-10-07,34,Mauvais,7.31,Mauvais
1617667,Hazelnut rue,rue Hazelnut ,rue Hazelnut ,57,Pierrefonds–Roxboro,2015-10-07,40,Mauvais,6.89,Mauvais
1617675,Hazelnut rue,rue Hazelnut ,rue Hazelnut ,80,Pierrefonds–Roxboro,2015-10-08,51,Moyen,8.75,Très mauvais
1617676,Hazelnut rue,rue D'Auteuil ,rue Hazelnut ,53,Pierrefonds–Roxboro,2015-10-07,48,Moyen,6.4,Mauvais
1617688,Hazelnut rue,rue Hazelnut ,rue Acres ,35,Pierrefonds–Roxboro,2015-10-07,67,Bon,8.52,Très mauvais
1617689,Hazelnut rue,rue Acres ,rue D'Auteuil ,78,Pierrefonds–Roxboro,2015-10-07,37,Mauvais,6.26,Mauvais
1617690,Hazelnut rue,rue D'Auteuil ,rue Hazelnut ,72,Pierrefonds–Roxboro,2015-10-07,53,Moyen,5.03,Moyen
1617691,D'Auteuil rue,rue Hazelnut ,rue d'Estérel ,126,Pierrefonds–Roxboro,2015-10-08,86,Excellent,3.78,Bon
1617692,Acres rue,rue Acres ,rue Hazelnut ,41,Pierrefonds–Roxboro,2015-10-07,41,Mauvais,4.53,Moyen
1617712,D'Auteuil rue,rue d'Estérel ,rue d'Estérel ,73,Pierrefonds–Roxboro,2015-10-08,87,Excellent,3.29,Bon
1617846,Henri-Daoust rue,rue Henri-Daoust ,rue Antoine-Faucon ,48,Pierrefonds–Roxboro,2015-10-06,39,Mauvais,5.64,Mauvais
1617849,Antoine-Faucon rue,rue Antoine-Faucon ,boulevard Saint-Charles ,61,Pierrefonds–Roxboro,2015-10-06,33,Très mauvais,6.88,Très mauvais
1619035,de l'Anse-à-l'Orme chemin,chemin de l'Anse-à-l'Orme ,rue de l'Anse-à-l'Orme ,1563,Pierrefonds–Roxboro,2015-10-05,75,Bon,1.29,Excellent
1619450,Gouin Ouest boulevard,rue Angers ,chemin de Senneville ,118,Pierrefonds–Roxboro,2015-10-05,78,Bon,4.84,Moyen
1619451,Gouin Ouest boulevard,rue Lauzon ,rue Angers ,72,Pierrefonds–Roxboro,2015-10-05,100,Excellent,3.91,Moyen
1619452,Lauzon rue,boulevard Gouin Ouest ,rue Lauzon ,221,Pierrefonds–Roxboro,2015-10-05,84,Excellent,4.47,Moyen
1619454,Gouin Ouest boulevard,rue Rose-Marie ,rue Lauzon ,457,Pierrefonds–Roxboro,2015-10-05,89,Excellent,5.02,Moyen
1619463,Rose-Marie rue,boulevard Gouin Ouest ,rue Rose-Marie ,267,Pierrefonds–Roxboro,2015-10-05,97,Excellent,4.05,Moyen
1619502,du Cap-Saint-Jacques chemin,chemin de Service ,rue Charlebois ,580,Pierrefonds–Roxboro,2015-10-05,84,Excellent,2.57,Bon
1619513,du Château-Pierrefonds avenue,boulevard Gouin Ouest ,avenue du Château-Pierrefonds ,221,Pierrefonds–Roxboro,2015-10-05,35,Mauvais,9.25,Très mauvais
1619514,du Château-Pierrefonds avenue,rue Oka ,boulevard Gouin Ouest ,78,Pierrefonds–Roxboro,2015-10-05,30,Très mauvais,4.23,Moyen
1619515,Dauville rue,boulevard Gouin Ouest ,rue de Boulogne ,64,Pierrefonds–Roxboro,2015-10-05,84,Excellent,5.17,Moyen
1619516,de Boulogne rue,boulevard Gouin Ouest ,rue Dauville ,235,Pierrefonds–Roxboro,2015-10-05,87,Excellent,5.52,Moyen
1619517,Dauville rue,boulevard Gouin Ouest ,rue Dauville ,21,Pierrefonds–Roxboro,2015-10-05,63,Bon,9.07,Très mauvais
1619518,Dauville rue,boulevard Gouin Ouest ,rue de Boulogne ,246,Pierrefonds–Roxboro,2015-10-05,80,Bon,5.03,Moyen
1619519,Gouin Ouest boulevard,rue de Boulogne ,avenue du Château-Pierrefonds ,64,Pierrefonds–Roxboro,2015-10-05,83,Bon,3.2,Moyen
1619520,Gouin Ouest boulevard,rue Dauville ,rue de Boulogne ,68,Pierrefonds–Roxboro,2015-10-05,72,Moyen,4.69,Mauvais
1619521,Trépanier rue,rue du Manoir ,rue du Manoir ,368,Pierrefonds–Roxboro,2015-10-05,67,Bon,4.53,Moyen
1619522,Oka rue,rue Joseph-Wilson ,avenue du Château-Pierrefonds ,344,Pierrefonds–Roxboro,2015-10-05,48,Moyen,5.6,Moyen
1619523,Oka rue,rue de Giverny ,rue Joseph-Wilson ,153,Pierrefonds–Roxboro,2015-10-05,51,Moyen,4.76,Moyen
1619524,du Manoir rue,avenue du Château-Pierrefonds ,rue Trépanier ,81,Pierrefonds–Roxboro,2015-10-06,51,Moyen,5.79,Moyen
1619525,du Manoir rue,rue Trépanier ,rue Trépanier ,75,Pierrefonds–Roxboro,2015-10-06,59,Moyen,4.97,Moyen
1619526,du Manoir rue,rue Trépanier ,rue Paul-Pouliot ,83,Pierrefonds–Roxboro,2015-10-06,74,Bon,7.78,Mauvais
1619527,Joseph-Wilson rue,rue Joseph-Wilson ,rue Oka ,37,Pierrefonds–Roxboro,2015-10-05,48,Moyen,6.33,Mauvais
1619528,Joseph-Wilson rue,rue Oka ,avenue du Château-Pierrefonds ,82,Pierrefonds–Roxboro,2015-10-05,37,Mauvais,6.3,Mauvais
1619529,du Château-Pierrefonds avenue,rue Joseph-Wilson ,rue du Manoir ,79,Pierrefonds–Roxboro,2015-10-05,40,Très mauvais,3.86,Moyen
